department_id,ep_week,confirmed,log_confirmed
2,0,103,2.01283722470517
2,1,117,2.06818586174616
2,2,135,2.13033376849501
2,3,215,2.3324384599156
2,4,323,2.5092025223311
2,5,420,2.6232492903979
2,6,664,2.82216807936802
2,7,897,2.95279244304409
3,0,12,1.07918124604762
3,1,16,1.20411998265592
3,2,22,1.34242268082221
3,3,33,1.51851393987789
3,4,54,1.73239375982297
3,5,93,1.96848294855394
3,6,133,2.12385164096709
3,7,185,2.26717172840301
4,0,1275,3.10551018476997
4,1,1587,3.20057692675485
4,2,1849,3.26693691115917
4,3,2749,3.43917473984347
4,4,3375,3.52827377716704
4,5,3730,3.57170883180869
4,6,4053,3.60777660374169
4,7,4626,3.6652056284346
5,0,1078,3.03261876085072
5,1,1093,3.0386201619497
5,2,1118,3.0484418035504
5,3,1151,3.06107532362979
5,4,1225,3.08813608870055
5,5,1251,3.09725730969342
5,6,1330,3.12385164096709
5,7,1365,3.13513265137677
6,0,31,1.49136169383427
6,1,32,1.50514997831991
6,2,31,1.49136169383427
6,3,33,1.51851393987789
6,4,51,1.70757017609794
6,5,71,1.85125834871908
6,6,86,1.93449845124357
6,7,88,1.94448267215017
7,0,28,1.44715803134222
7,1,46,1.66275783168157
7,2,45,1.65321251377534
7,3,55,1.74036268949424
7,4,73,1.86332286012046
7,5,84,1.92427928606188
7,6,87,1.93951925261862
7,7,91,1.95904139232109
8,0,23,1.36172783601759
8,1,27,1.43136376415899
8,2,42,1.6232492903979
8,3,63,1.79934054945358
8,4,102,2.00860017176192
8,5,232,2.3654879848909
8,6,337,2.52762990087134
8,7,439,2.64246452024212
9,0,27,1.43136376415899
9,1,31,1.49136169383427
9,2,40,1.60205999132796
9,3,62,1.79239168949825
9,4,130,2.11394335230684
9,5,201,2.30319605742049
9,6,315,2.4983105537896
9,7,395,2.59659709562646
11,0,117,2.06818586174616
11,1,134,2.12710479836481
11,2,182,2.26007138798507
11,3,255,2.40654018043395
11,4,432,2.63548374681491
11,5,592,2.77232170672292
11,6,713,2.85308952985187
11,7,810,2.90848501887865
13,0,525,2.72015930340596
13,1,580,2.76342799356294
13,2,664,2.82216807936802
13,3,889,2.94890176097021
13,4,1120,3.04921802267018
13,5,1433,3.15624619039734
13,6,1836,3.26387267686522
13,7,2026,3.30663944102426
14,0,1610,3.20682587603185
14,1,1687,3.22711508258912
14,2,1802,3.25575478664304
14,3,2022,3.30578115125498
14,4,2222,3.34674405460485
14,5,2455,3.39005149645899
14,6,2612,3.41697317260304
14,7,2725,3.43536650661266
17,0,595,2.77451696572855
17,1,902,2.95520653754194
17,2,1319,3.12024479554636
17,3,1881,3.27438879555038
17,4,2621,3.4184670209466
17,5,3424,3.53453375600512
17,6,3894,3.59039594718401
17,7,4237,3.62705846400099
18,0,25,1.39794000867204
18,1,81,1.90848501887865
18,2,104,2.01703333929878
18,3,141,2.14921911265538
18,4,177,2.24797326636181
18,5,255,2.40654018043395
18,6,291,2.46389298898591
18,7,309,2.48995847942483
19,0,905,2.9566485792052
19,1,909,2.95856388322197
19,2,1121,3.04960561259497
19,3,1413,3.15014216184856
19,4,1538,3.18695633546541
19,5,1650,3.21748394421391
19,6,1817,3.25935492730803
19,7,1918,3.28284860283464
20,0,6,0.778151250383644
20,1,9,0.954242509439325
20,2,22,1.34242268082221
20,3,43,1.63346845557959
20,4,103,2.01283722470517
20,5,188,2.27415784926368
20,6,317,2.50105926221775
20,7,462,2.66464197555613
22,0,1619,3.20924684875337
22,1,2184,3.3392526340327
22,2,2789,3.44544851426605
22,3,3956,3.59725628292514
22,4,4831,3.68403703748652
22,5,5835,3.76604086038139
22,6,6626,3.82125143154594
22,7,7152,3.85442750578786
23,0,36,1.55630250076729
23,1,38,1.57978359661681
23,2,45,1.65321251377534
23,3,54,1.73239375982297
23,4,62,1.79239168949825
23,5,96,1.98227123303957
23,6,140,2.14612803567824
23,7,156,2.19312459835446
25,0,53,1.72427586960079
25,1,65,1.81291335664286
25,2,84,1.92427928606188
25,3,105,2.02118929906994
25,4,156,2.19312459835446
25,5,235,2.37106786227174
25,6,292,2.46538285144842
25,7,357,2.55266821611219
26,0,623,2.79448804665917
26,1,683,2.83442070368153
26,2,686,2.83632411570675
26,3,760,2.88081359228079
26,4,933,2.9698816437465
26,5,926,2.96661098668193
26,6,968,2.98587535730839
26,7,1022,3.00945089579869
27,0,19,1.27875360095283
27,1,22,1.34242268082221
27,2,32,1.50514997831991
27,3,43,1.63346845557959
27,4,143,2.15533603746506
27,5,300,2.47712125471966
27,6,503,2.70156798505593
27,7,681,2.83314711191278
28,0,519,2.71516735784846
28,1,639,2.8055008581584
28,2,692,2.84010609445676
28,3,774,2.88874096068289
28,4,834,2.92116605063774
28,5,879,2.94398887507377
28,6,951,2.97818051693741
28,7,1017,3.00732095292274
29,0,622,2.79379038469082
29,1,703,2.84695532501982
29,2,925,2.96614173273903
29,3,1297,3.11293997608408
29,4,1730,3.2380461031288
29,5,2311,3.36379994547911
29,6,2466,3.39199307225971
29,7,3210,3.50650503240487
30,0,15,1.17609125905568
30,1,16,1.20411998265592
30,2,46,1.66275783168157
30,3,149,2.17318626841227
30,4,348,2.54157924394658
30,5,726,2.86093662070009
30,6,1243,3.09447112864164
30,7,1778,3.24993175663419